"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.02620621641445e-151,3.03942723903522,0.424,0.068,2.93767173726985e-146,"5","LINC02446"
3.89407145667832e-133,2.94702232127484,0.387,0.063,1.42526909385883e-128,"5","PTPRK"
1.92712512330669e-77,2.72820707994001,0.276,0.054,7.05347066381481e-73,"5","CA6"
2.02109505533643e-58,1.80770642670014,0.456,0.176,7.39741001203688e-54,"5","SNED1"
7.82162001537646e-45,1.8515109079766,0.32,0.108,2.86279114182794e-40,"5","SH3RF3"
2.26443098143901e-41,1.77966386090541,0.308,0.106,8.2880438351649e-37,"5","LRRN3"
2.92985375772943e-160,2.19424618647162,0.722,0.147,1.07235577386655e-155,"6","CD8B"
3.4564863613842e-144,2.93760835228735,0.425,0.053,1.26510857313023e-139,"6","NRCAM"
1.09305500509809e-132,2.62006966295894,0.473,0.073,4.00069062415953e-128,"6","LINC02446"
1.12239454054805e-120,2.09987307514188,0.805,0.255,4.10807625785991e-116,"6","NELL2"
2.34827375885971e-103,2.5246847362495,0.363,0.054,8.59491678480243e-99,"6","CA6"
1.923943582128e-99,1.80320199839158,0.601,0.146,7.04182590494669e-95,"6","CD8A"
1.00769902569955e-79,2.77678789919272,0.258,0.035,3.68827920396291e-75,"6","ROBO1"
6.91071420375074e-74,2.26917347992614,0.36,0.073,2.52939050571481e-69,"6","PTPRK"
3.56190195474129e-68,2.00072315159821,0.422,0.104,1.30369173445486e-63,"6","LRRN3"
3.86065666719422e-43,1.7798161619094,0.292,0.074,1.41303894675976e-38,"6","AC022075.1"
0,4.98203795675431,0.871,0.078,0,"7","SPON2"
0,5.70056183453284,0.779,0.029,0,"7","KLRF1"
0,6.12650967855632,0.653,0.016,0,"7","BNC2"
0,5.6023671275034,0.565,0.016,0,"7","NCAM1"
9.5483521967796e-318,4.94834200038623,0.452,0.017,3.4947923875433e-313,"7","NCR1"
2.61695378080493e-297,6.14419125183064,0.333,0.007,9.57831253312414e-293,"7","AKR1C3"
2.25962001810064e-267,5.4995798510095,0.357,0.011,8.27043522825014e-263,"7","SH2D1B"
2.47855638451533e-232,6.39012176962362,0.265,0.005,9.07176422296456e-228,"7","LDB2"
1.68930819692871e-223,5.4272548461493,0.296,0.009,6.18303693157876e-219,"7","RNF165"
2.69133863804606e-210,4.89134236049617,0.347,0.017,9.85056854911238e-206,"7","IL18RAP"
0,8.87434306035602,0.305,0.001,0,"8","TNFRSF13B"
4.05677301800248e-319,6.55126246782483,0.384,0.005,1.48481949231909e-314,"8","COL4A4"
3.19306016887532e-304,7.78670803662969,0.331,0.003,1.16869195241006e-299,"8","SSPN"
2.8647606998942e-248,6.52805130634113,0.43,0.013,1.04853106376828e-243,"8","GPM6A"
6.37021998080696e-207,8.06850660709127,0.311,0.007,2.33156421517515e-202,"8","IGHG1"
4.96215281633974e-196,7.27419603385531,0.272,0.005,1.81619755230851e-191,"8","IGHG3"
3.64133977163886e-71,7.23276367673098,0.51,0.086,1.33276676981754e-66,"8","IGHA1"
3.42489448151832e-37,7.44710279225601,0.311,0.059,1.25354562918052e-32,"8","IGLC3"
3.82301069614792e-20,6.47795858477975,0.464,0.193,1.3992601448971e-15,"8","IGLC2"
1.07005148791912e-13,6.92124098387429,0.258,0.086,3.91649545093276e-09,"8","IGLC1"
0,7.33784969540603,0.957,0.026,0,"9","CDKN1C"
0,5.96580240351825,0.757,0.016,0,"9","HES4"
0,10.593992378659,0.521,0.001,0,"9","AC104809.2"
0,8.26359546702206,0.386,0.002,0,"9","AC020651.2"
0,7.85840856837239,0.371,0.002,0,"9","CKB"
0,7.71656325920182,0.293,0.001,0,"9","CROCC2"
3.20343864460614e-317,7.66551220788124,0.286,0.001,1.17249057831229e-312,"9","LINC02345"
1.24867279508247e-265,5.13137498019502,0.679,0.035,4.57026729728134e-261,"9","FMNL2"
1.69616980285329e-265,7.33961317609411,0.25,0.001,6.20815109542333e-261,"9","VMO1"
7.33700846005009e-248,5.87053270669208,0.3,0.004,2.68541846646293e-243,"9","HES1"
0,6.37191375566414,0.959,0.026,0,"10","FCRL1"
0,6.8624299501522,0.854,0.018,0,"10","IGHD"
0,6.53779442562155,0.837,0.016,0,"10","COL19A1"
0,6.19660969928547,0.707,0.015,0,"10","TCL1A"
0,5.96211161146771,0.699,0.024,0,"10","FCER2"
2.62653014952576e-295,6.04207859431899,0.423,0.007,9.61336300027924e-291,"10","ABCB4"
2.56936261469426e-278,5.99473963749614,0.472,0.011,9.40412410604248e-274,"10","PCDH9"
1.21350279639723e-266,7.42983753656944,0.309,0.003,4.44154158509349e-262,"10","SCN3A"
4.25395786452632e-198,6.9668509118156,0.252,0.003,1.55699111799528e-193,"10","AC108879.1"
1.76778088214572e-176,6.13047567581539,0.268,0.005,6.47025480674154e-172,"10","LIX1"
0,7.50582258463754,0.866,0.013,0,"11","SLC4A10"
2.45838003905072e-310,6.20090940824251,0.561,0.01,8.99791678092954e-306,"11","ADAM12"
3.04773049847857e-149,5.7351951863169,0.329,0.008,1.11549983974814e-144,"11","LINC01644"
