"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00217861795206334,0.508787970973714,0.558,0.278,1,"14","MAPK8"
0.00218409826038289,0.340416321686129,0.302,0.121,1,"14","MEAF6"
0.00219261267078903,0.477979638073071,0.698,0.354,1,"14","PCBP1"
0.00219617699352313,0.524880865804038,0.744,0.434,1,"14","HIF1A"
0.00220539431238268,0.308940086860912,0.256,0.098,1,"14","IPO11"
0.00220539432765332,0.379581251783622,0.256,0.098,1,"14","PGM1"
0.00220929528640215,0.628429908611304,0.279,0.112,1,"14","SPG21"
0.00224086466021731,0.620901105208896,0.279,0.111,1,"14","GABBR1"
0.00224491915593285,0.541747737031654,0.419,0.192,1,"14","SRI"
0.00224781086789703,0.480524086764196,0.372,0.163,1,"14","CNOT10"
0.00226152068344307,0.480944892798446,0.395,0.176,1,"14","PSMD12"
0.00226205714663893,0.438154808132773,0.86,0.539,1,"14","PSMB9"
0.00227482036890479,0.251409345485688,0.302,0.121,1,"14","PGP"
0.00227632886608845,0.619716374905546,0.651,0.324,1,"14","KIDINS220"
0.00227855031212264,0.318765572151093,0.558,0.267,1,"14","M6PR"
0.00228908335698336,0.521455431555932,0.372,0.169,1,"14","XRCC4"
0.00230539653773918,0.394863753311453,0.628,0.301,1,"14","SBNO1"
0.00232100090020629,0.38573641505393,0.512,0.242,1,"14","TAF10"
0.00233134481810132,0.75579666815176,0.302,0.129,1,"14","FAM126A"
0.00233387916112007,0.461028788133589,0.744,0.412,1,"14","PSMB8"
0.00235661071961664,0.379715856714582,0.465,0.215,1,"14","SMU1"
0.00236373315543377,0.326284876417595,0.419,0.186,1,"14","DLST"
0.00239554081441172,0.311814510535003,0.419,0.186,1,"14","PDIA6"
0.00239631722328237,0.406067936771117,0.605,0.297,1,"14","SNX2"
0.00239776779803252,0.342659140111319,0.558,0.272,1,"14","SMC1A"
0.00240625151775941,0.346142583580243,0.302,0.124,1,"14","TRAP1"
0.00241517751677583,0.35712471343174,0.372,0.161,1,"14","ERGIC3"
0.00241968983951902,0.397802684545513,0.512,0.243,1,"14","VPS36"
0.00242016661767617,0.523672198918663,0.256,0.099,1,"14","TAF8"
0.00245240042706393,0.266924789688278,0.326,0.134,1,"14","CYB5R3"
0.00246085466858945,0.7126911461853,0.256,0.102,1,"14","RAP2A"
0.00249515492658797,0.817336316685288,0.372,0.171,1,"14","OAS1"
0.00250138074903895,0.3163992578293,0.558,0.271,1,"14","GTF2F2"
0.00250366999923447,0.700226637993888,0.256,0.102,1,"14","ZCRB1"
0.00253749582917441,0.555630696551367,0.256,0.1,1,"14","CCAR2"
0.00254137852994941,0.250768958442426,0.279,0.11,1,"14","WDR61"
0.00255301417050954,0.536968993203383,0.279,0.113,1,"14","MPC2"
0.00259827257658853,0.286578931866025,0.256,0.098,1,"14","FAM104A"
0.00260168236890228,0.310556760850161,0.395,0.176,1,"14","ELMSAN1"
0.00262410619049975,0.463334018650592,0.535,0.261,1,"14","PSMD7"
0.0026287543828892,0.352086193298775,0.279,0.11,1,"14","ABHD14B"
0.00264569964917467,0.303832775567941,0.581,0.291,1,"14","RIOK3"
0.00265041940600392,0.363553206188017,0.93,0.834,1,"14","RACK1"
0.00265726681823751,0.62630590306234,0.488,0.25,1,"14","RGS10"
0.0026603390171621,0.512961028759202,0.488,0.237,1,"14","CACUL1"
0.00271183599805365,0.403165403706025,0.349,0.151,1,"14","SCAMP1"
0.00273036897347144,0.368523001753038,0.767,0.422,1,"14","UCP2"
0.00273039975657346,0.48462146173803,0.651,0.377,1,"14","CTNNB1"
0.00273052798922679,0.40478527061632,0.628,0.327,1,"14","TRMT112"
0.00274332988437846,0.294536546337163,0.791,0.423,1,"14","SPPL3"
0.00277000843156709,0.456723506334535,0.953,0.69,1,"14","HNRNPC"
0.00285419215663584,0.393029952178151,0.465,0.219,1,"14","MFSD14B"
0.00288293925994965,0.397355268477316,0.372,0.164,1,"14","STUB1"
0.00292214086167445,0.373942922686266,0.279,0.112,1,"14","COA4"
0.00292395293318823,0.27419756855057,0.512,0.237,1,"14","SSBP4"
0.00293950414998033,0.396572990211406,0.721,0.378,1,"14","SFMBT2"
0.00294712778281601,0.256756636085551,0.884,0.52,1,"14","BAZ1A"
0.00297621931823361,0.40446495234095,0.488,0.235,1,"14","CLASRP"
0.00297735148894761,0.747806201694009,0.256,0.102,1,"14","TAF13"
0.00300768898083581,0.459117503299202,0.326,0.138,1,"14","KRI1"
0.00300866638511871,0.315039066040882,0.884,0.54,1,"14","NFKB1"
